t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0826,1782562475.9456,2926.236454,0.0000,0.0000,0.00000,3.2937,3.3000,3.3000,3.3000,3.3000,3.2944,3.3000,3.2968,3.2984,3.2839,3.2927,3.3000,3.2936,3.2968,3.2847,3.2911,3.2549,3.2815,3.2871,3.2952,3.2984,3.3000,3.3000,3.3000,3.3000,3.2936
0.0835,1782562475.9466,2926.237653,0.0000,0.0000,0.00000,3.2932,3.3000,3.2984,3.2968,3.2855,3.2911,3.2952,3.2847,3.2903,3.2831,3.2919,3.2597,3.2807,3.2879,3.2976,3.2968,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.3000,3.2927
0.0847,1782562475.9478,2926.238855,0.0000,0.0000,0.00000,3.2922,3.2597,3.2839,3.2863,3.2919,3.2992,3.2766,3.2944,3.2919,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.2976,3.3000,3.2903,3.2911,3.2976,3.2839,3.2887,3.2847,3.2944
0.0866,1782562475.9496,2926.240054,0.0000,0.0000,0.00000,3.2915,3.2863,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.2992,3.2903,3.3000,3.2903,3.2952,3.2807,3.2911,3.2605,3.2823,3.2879,3.2887,3.2976,3.2662,3.2863,3.2895,3.2976,3.3000
0.0873,1782562475.9504,2926.241253,0.0000,0.0000,0.00000,3.2926,3.3000,3.2968,3.2992,3.2839,3.2903,3.3000,3.2911,3.2903,3.2847,3.2952,3.2573,3.2823,3.2863,3.2887,3.2976,3.2863,3.2984,3.2960,3.3000,3.2968,3.3000,3.3000,3.3000,3.3000,3.2944
0.0883,1782562475.9514,2926.242455,0.0000,0.0000,0.00000,3.2905,3.2702,3.2807,3.2847,3.2839,3.2976,3.2750,3.2863,3.2911,3.3000,3.2968,3.3000,3.3000,3.2984,3.3000,3.2944,3.3000,3.3000,3.2992,3.2919,3.2944,3.2670,3.2782,3.2871,3.2871,3.2984
0.0895,1782562475.9526,2926.243654,0.0000,0.0000,0.00000,3.2915,3.2782,3.2927,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.2968,3.2927,3.3000,3.2927,3.2944,3.2799,3.2927,3.2790,3.2839,3.2863,3.2871,3.2952,3.2702,3.2863,3.2903,3.3000,3.2960
0.0910,1782562475.9540,2926.244854,0.0000,0.0000,0.00000,3.2934,3.3000,3.3000,3.3000,3.2976,3.2903,3.3000,3.2960,3.2976,3.2823,3.2895,3.2549,3.2799,3.2871,3.2976,3.2992,3.2782,3.2960,3.2952,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2944
0.0921,1782562475.9552,2926.246055,0.0000,0.0000,0.00000,3.2929,3.2984,3.2863,3.2919,3.2831,3.2944,3.2645,3.2863,3.2919,3.3000,3.3000,3.2831,3.2984,3.2968,3.3000,3.2984,3.3000,3.3000,3.3000,3.2911,3.2919,3.3000,3.2952,3.2992,3.2807,3.2911
0.0933,1782562475.9564,2926.247254,0.0000,0.0000,0.00000,3.2894,3.2694,3.2847,3.2919,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.2968,3.2855,3.2903,3.2670,3.2815,3.2855,3.2831,3.2952,3.2557,3.2799,3.2847,3.2936,3.2984
0.0945,1782562475.9576,2926.248455,0.0000,0.0000,0.00000,3.2917,3.3000,3.3000,3.3000,3.2911,3.2887,3.3000,3.2927,3.2895,3.2807,3.2927,3.2549,3.2831,3.2879,3.2960,3.2968,3.2662,3.2887,3.2952,3.3000,3.2952,3.2960,3.3000,3.2992,3.3000,3.2968
0.0955,1782562475.9586,2926.249654,0.0000,0.0000,0.00000,3.2922,3.2984,3.2839,3.2903,3.2831,3.2944,3.2597,3.2807,3.2863,3.2968,3.2968,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2992,3.2919,3.3000,3.2887,3.2911,3.2807,3.2895
